src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,predicted_score,predicted_label
192.168.100.29,192.168.100.20,38956,5555,b4:69:21:61:a7:3d,ac:d5:64:9a:64:c5,6,2023-03-01 16:04:34,291028.2611846924,812371.2763756686,941.4893209498788,419.20327429155185,522.2860466583269,122,152,8052,228371,66.0,66.0,66.0,0.0,1514.0,66.0,1502.4407894736842,119.535159634521,1514,66,862.8576642335767,719.4326014726449,517583.2680616975,2440,3040,20,0,1059.5225589179295,25402.307510375977,-291.1090850830078,3305.53239949478,290987.7300262451,45186.758041381836,0.0,2404.8572729441744,6198.927737276632,290925.5027770996,105072.9751586914,1.9073486328125,1926.658958788739,9475.461364073115,0,0,0,0,1,0,0,0,0,0,0,1.2459016393442623,862.8576642335767,12240,507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218339.0,151.0,0.0,1174797.043644695,66.0,1502.4407894736842,0,122,152,8052,228371,BENIGN,0.93
192.168.100.29,192.168.100.20,48052,5555,b4:69:21:61:a7:3d,ac:d5:64:9a:64:c5,6,2023-03-01 16:04:35,295536.75651550293,755530.3869225724,744.408250919068,243.62451848260406,500.7837324364639,72,148,5058,218229,364.0,66.0,70.25,34.87427816855537,1514.0,66.0,1474.5202702702702,227.3394434806444,1514,66,1014.9409090909091,685.0745886126633,469327.1919628099,1440,2960,20,1,1337.963696484152,80757.61795043945,-209.0930938720703,6534.873332055438,295464.51568603516,80832.24296569824,0.0,4161.472051915988,11217.047387644312,295434.95178222656,80838.68026733398,2.1457672119140625,2009.7615767498405,8122.429865983351,0,0,0,0,1,0,0,0,0,0,0,2.0555555555555554,1014.9409090909091,64240,507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208453.0,145.0,0.0,771082.6998553639,70.25,1474.5202702702702,0,72,148,5058,218229,BENIGN,0.98
192.168.100.1,239.255.255.250,39414,1900,c8:1f:be:4e:a4:a6,ac:d5:64:9a:64:c5,17,2023-03-01 16:04:36,1856059.3128204346,282.318564056953,1.6163276568146163,1.6163276568146163,0.0,3,0,524,0,175.0,174.0,174.66666666666666,0.4714045207910317,0.0,0.0,0.0,0.0,175,174,174.66666666666666,0.4714045207910317,0.22222222222222224,24,0,8,3,928029.6564102173,1584505.558013916,271553.75480651855,656475.9016036987,1856059.3128204346,1584505.558013916,271553.75480651855,928029.6564102173,656475.9016036987,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,174.66666666666666,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.66666666666666,0.0,0,3,0,524,0,BENIGN,0.95
192.168.100.20,192.168.100.1,39449,53,ac:d5:64:9a:64:c5,c8:1f:be:4e:a4:a6,17,2023-03-01 16:04:38,130510.09178161621,1271.9322907056826,15.324485430188949,7.662242715094474,7.662242715094474,1,1,75,91,75.0,75.0,75.0,0.0,91.0,91.0,91.0,0.0,91,75,83.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,83.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,91.0,0,1,1,75,91,BENIGN,0.99
192.168.100.29,192.168.100.20,48068,5555,b4:69:21:61:a7:3d,ac:d5:64:9a:64:c5,6,2023-03-01 16:04:40,231682.06214904785,776275.0310997227,720.8154073342287,198.54795651122464,522.267450823004,46,121,3337,176512,359.0,66.0,72.54347826086956,42.71834272643315,1514.0,66.0,1458.7768595041323,267.51669408333714,1514,66,1076.940119760479,660.2051278092396,435870.81078561436,920,2420,20,1,1387.5745865235847,18118.38150024414,-168.08509826660156,3610.876041641918,231625.79536437988,23476.839065551758,0.0,5147.23989698622,6378.749746030084,231601.71508789062,27537.58430480957,2.1457672119140625,1930.0142923990886,4687.612327043635,0,0,0,0,1,0,0,0,0,0,0,2.630434782608696,1076.940119760479,64240,507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168518.0,118.0,0.0,909499.5052062155,72.54347826086956,1458.7768595041323,0,46,121,3337,176512,BENIGN,0.98
172.217.170.197,192.168.100.20,443,46206,c8:1f:be:4e:a4:a6,ac:d5:64:9a:64:c5,6,2023-03-01 16:04:38,1960507.1544647217,10529.928418259939,26.523749164382718,15.81223507876662,10.711514085616097,31,21,15326,5318,1466.0,66.0,494.38709677419354,520.24601360531,1466.0,66.0,253.23809523809524,425.65131099146504,1466,66,397.0,498.51938470141454,248521.57692307694,620,420,20,19,38440.06856282552,666372.0607757568,-46.73004150390625,116721.73686972074,1960507.1544647217,690824.2702484131,0.0,65350.23848215739,150019.9212576879,1915962.4576568604,666372.0607757568,7.8678131103515625,95798.12288284302,192444.85181791004,0,0,0,0,1,0,0,0,0,0,0,0.6774193548387096,397.0,65535,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5969.0,8.5,2962.0,4.0,23066.572667515225,4444.320272221372,494.38709677419354,253.23809523809524,0,31,21,15326,5318,BENIGN,0.95
192.168.100.29,192.168.100.20,48072,5555,b4:69:21:61:a7:3d,ac:d5:64:9a:64:c5,6,2023-03-01 16:04:40,4278328.18031311,1129601.5163676178,955.0459496776998,217.60836494124783,737.4375847364521,931,3155,61745,4771061,357.0,66.0,66.32116004296455,9.535336121991124,1514.0,66.0,1512.2221870047545,49.80928842060098,1514,66,1182.771904062653,608.0718745786507,369751.4046535943,18620,63100,20,1,1034.1899339542833,146637.6781463623,-290.15541076660156,4708.013197120651,4278287.410736084,146798.61068725586,0.0,4600.309043802241,10401.659357880346,4278251.171112061,146707.77320861816,1.6689300537109375,1356.4524955967217,5653.161136065554,0,0,0,0,1,0,0,0,0,0,0,3.388829215896885,1182.771904062653,64240,507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4562823.0,3152.0,0.0,1097071.2934027482,66.32116004296455,1512.2221870047545,0,931,3155,61745,4771061,BENIGN,0.89
192.168.100.29,192.168.100.20,48084,5555,b4:69:21:61:a7:3d,ac:d5:64:9a:64:c5,6,2023-03-01 16:04:44,239685.2970123291,934124.8828812519,897.0095482700413,275.3610706317336,621.6484776383077,66,149,4665,219231,367.0,66.0,70.68181818181819,36.76673360151155,1514.0,66.0,1471.3489932885907,233.76483698164196,1514,66,1041.3767441860466,675.0242940803702,455657.797598702,1320,2980,20,1,1109.7582701210663,27001.85775756836,-200.03318786621094,3906.657168355689,239633.79859924316,27054.786682128906,0.0,3686.673824603741,6620.017397023692,239581.34651184082,29364.347457885742,1.9073486328125,1618.7928818367623,5225.061248643127,0,0,0,0,1,0,0,0,0,0,0,2.257575757575758,1041.3767441860466,64240,507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209389.0,146.0,0.0,1012213.6731839326,70.68181818181819,1471.3489932885907,0,66,149,4665,219231,BENIGN,0.97
192.168.100.1,192.168.100.20,53,40332,c8:1f:be:4e:a4:a6,ac:d5:64:9a:64:c5,17,2023-03-01 16:04:45,0.0,0,0,0,0,1,0,119,0,119.0,119.0,119.0,0.0,0.0,0.0,0.0,0.0,119,119,119.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,119.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0,1,0,119,0,BENIGN,0.96
192.168.100.20,172.217.170.206,59014,443,ac:d5:64:9a:64:c5,c8:1f:be:4e:a4:a6,17,2023-03-01 16:04:45,540236.9499206543,15739.389912609371,33.31871321027504,12.957277359551405,20.361435850723637,7,11,3005,5498,1292.0,75.0,429.2857142857143,545.849983128728,1292.0,64.0,499.8181818181818,526.7657437232708,1292,64,472.3888888888889,535.373715671678,286625.01543209876,56,88,8,7,31778.644112979666,208943.84384155273,0.0,50316.80486909881,524097.9194641113,269300.4608154297,140.66696166992188,87349.65324401855,90251.6007449573,473437.3092651367,275914.43061828613,0.0,47343.73092651367,80403.14320291522,0,0,0,0,1,0,0,0,0,0,0,1.5714285714285714,472.3888888888889,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3522.0,6.0,0.0,192223.01480806767,429.2857142857143,499.8181818181818,0,7,11,3005,5498,BENIGN,0.99
