src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,predicted_score,predicted_label
159.124.22.232,192.168.100.71,8801,49550,c8:1f:be:4e:a4:a6,b4:69:21:61:a7:3d,17,2023-12-01 11:02:33,0.0,0,0,0,0,1,0,106,0,106.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,106,106,106.0,0.0,0.0,8,0,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,106.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,0,1,0,106,0,BENIGN,0.94
159.124.22.232,192.168.100.71,443,46732,c8:1f:be:4e:a4:a6,b4:69:21:61:a7:3d,6,2023-12-01 11:02:33,196343.66035461426,1690.912756746911,20.372442852372423,10.186221426186211,10.186221426186211,2,2,164,168,98.0,66.0,82.0,16.0,102.0,66.0,84.0,18.0,102,66,83.0,17.05872210923198,291.0,40,40,20,1,65447.88678487142,195556.4022064209,52.928924560546875,92001.03410828808,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,83.0,13,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,84.0,0,2,2,164,168,BENIGN,0.93
159.124.22.232,192.168.100.71,443,38480,c8:1f:be:4e:a4:a6,b4:69:21:61:a7:3d,6,2023-12-01 11:02:33,197821.85554504395,1678.2776558498297,20.220212721082287,10.110106360541144,10.110106360541144,2,2,164,168,98.0,66.0,82.0,16.0,102.0,66.0,84.0,18.0,102,66,83.0,17.05872210923198,291.0,40,40,20,1,65940.61851501465,196476.45950317383,145.6737518310547,92303.7814012142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,83.0,14,2524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,84.0,0,2,2,164,168,BENIGN,0.93
159.124.22.232,192.168.100.71,443,38490,c8:1f:be:4e:a4:a6,b4:69:21:61:a7:3d,6,2023-12-01 11:02:33,194437.50381469727,1707.4895196988462,20.572162887937907,10.286081443968953,10.286081443968953,2,2,164,168,98.0,66.0,82.0,16.0,102.0,66.0,84.0,18.0,102,66,83.0,17.05872210923198,291.0,40,40,20,1,64812.50127156576,193321.94328308105,162.36305236816406,90870.47143913488,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,83.0,13,3089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,84.0,0,2,2,164,168,BENIGN,0.93
159.124.22.232,192.168.100.71,443,38478,c8:1f:be:4e:a4:a6,b4:69:21:61:a7:3d,6,2023-12-01 11:02:34,234771.4900970459,3433.12554546904,25.55676584716407,12.778382923582035,12.778382923582035,3,3,572,234,408.0,66.0,190.66666666666666,154.23214825565893,102.0,66.0,78.0,16.97056274847714,408,66,134.33333333333334,123.33378378296119,15211.22222222222,60,60,20,2,46954.29801940918,188018.798828125,101.80473327636719,71548.4056011571,200604.43878173828,190970.42083740234,9634.017944335938,100302.21939086914,90668.2014465332,234669.68536376953,231819.86808776855,2849.8172760009766,117334.84268188477,114485.02540588379,0,0,0,0,1,0,0,0,0,0,0,1.0,134.33333333333334,13,1623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.66666666666666,78.0,0,3,3,572,234,BENIGN,0.83
192.168.100.71,159.124.22.232,38498,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,6,2023-12-01 11:02:33,1491138.4582519531,443.95609028557686,4.023771211047524,2.011885605523762,2.011885605523762,3,3,390,272,258.0,66.0,130.0,90.50966799187809,108.0,66.0,90.66666666666667,17.913371790059205,258,66,110.33333333333333,68.14119328440194,4643.2222222222235,60,60,20,1,298227.6916503906,914325.7141113281,21.219253540039062,335662.5831703372,1491138.4582519531,914378.1661987305,576760.2920532227,745569.2291259766,168808.9370727539,1256289.4821166992,914346.9333648682,341942.54875183105,628144.7410583496,286202.19230651855,0,0,0,0,1,0,0,0,0,0,0,1.0,110.33333333333333,501,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,90.66666666666667,0,3,3,390,272,BENIGN,0.99
159.124.22.232,192.168.100.71,443,38452,c8:1f:be:4e:a4:a6,b4:69:21:61:a7:3d,6,2023-12-01 11:02:33,2291829.1091918945,828.1594785525873,5.235992488214461,2.6179962441072306,2.6179962441072306,6,6,930,968,333.0,66.0,155.0,91.87672900867409,405.0,66.0,161.33333333333334,138.25057765601642,405,66,158.16666666666666,117.41935766966004,13787.305555555555,120,120,20,4,208348.10083562677,633796.9303131104,19.311904907226562,203537.28931093132,2291829.1091918945,694415.807723999,191099.4052886963,458365.8218383789,199937.17915566094,2101217.031478882,835222.0058441162,191114.9024963379,420243.40629577637,232044.27347272722,0,0,0,0,1,0,0,0,0,0,0,1.0,158.16666666666666,45,1038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,161.33333333333334,0,6,6,930,968,BENIGN,0.89
159.124.22.232,192.168.100.71,8801,49550,c8:1f:be:4e:a4:a6,b4:69:21:61:a7:3d,17,2023-12-01 11:02:34,1123863.2202148438,647.7656594730732,5.3387279626901645,2.6693639813450822,2.6693639813450822,3,3,320,408,111.0,103.0,106.66666666666667,3.2998316455372216,206.0,99.0,136.0,49.52440475832765,206,99,121.33333333333333,38.03799270320253,1446.888888888889,24,24,8,3,224772.64404296875,528307.4378967285,344.5148468017578,170057.65769329682,1123863.2202148438,927387.9528045654,196475.26741027832,561931.6101074219,365456.34269714355,925197.8397369385,528307.4378967285,396890.40184020996,462598.91986846924,65708.51802825928,0,0,0,0,1,0,0,0,0,0,0,1.0,121.33333333333333,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.66666666666667,136.0,0,3,3,320,408,BENIGN,0.91
192.168.100.71,3.6.96.240,42802,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,6,2023-12-01 11:02:35,713870.2869415283,1891.0998604296522,21.01222067144058,12.607332402864348,8.404888268576233,9,6,774,576,130.0,66.0,86.0,20.82733246908441,122.0,66.0,96.0,23.03620339089466,130,66,90.0,22.2830279211182,496.53333333333336,180,120,20,5,50990.734781537736,335330.2478790283,0.0,116553.53367586974,713870.2869415283,377249.00245666504,9.775161743164062,89233.78586769104,154548.52196186953,336047.4109649658,336045.7420349121,0.0,67209.48219299316,134418.1299220061,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,90.0,611,474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,96.0,0,9,6,774,576,BENIGN,0.97
159.124.22.232,192.168.100.71,443,38498,c8:1f:be:4e:a4:a6,b4:69:21:61:a7:3d,6,2023-12-01 11:02:36,201294.8989868164,1649.3214764560128,19.87134308983148,9.93567154491574,9.93567154491574,2,2,164,168,98.0,66.0,82.0,16.0,102.0,66.0,84.0,18.0,102,66,83.0,17.05872210923198,291.0,40,40,20,1,67098.29966227214,194476.36604309082,71.04873657226562,90111.12600130794,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,83.0,44,501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,84.0,0,2,2,164,168,BENIGN,0.93
