src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,predicted_score,predicted_label
192.168.43.26,173.194.76.188,41788,443,ac:d5:64:9a:64:c5,70:dd:a8:12:cd:08,6,2023-03-05 22:41:59,226598.73962402344,1394.5355588663585,17.652348846409602,8.826174423204801,8.826174423204801,2,2,158,158,92.0,66.0,79.0,13.0,92.0,66.0,79.0,13.0,92,66,79.0,13.0,169.0,40,40,20,1,75532.91320800781,223562.95585632324,37.90855407714844,104680.02195740113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,79.0,501,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0,2,2,158,158,BENIGN,1.0
192.168.43.26,3.227.83.73,47750,443,ac:d5:64:9a:64:c5,70:dd:a8:12:cd:08,6,2023-03-05 22:42:03,283452.27241516113,423.3516950756381,7.055861584593968,3.527930792296984,3.527930792296984,1,1,66,54,66.0,66.0,66.0,0.0,54.0,54.0,54.0,0.0,66,54,60.0,6.0,36.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,60.0,501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,54.0,0,1,1,66,54,BENIGN,0.99
192.168.43.26,52.4.230.178,52400,443,ac:d5:64:9a:64:c5,70:dd:a8:12:cd:08,6,2023-03-05 22:42:08,496019.3634033203,6794.0896034330935,26.20865425656683,18.14445294685396,8.064201309712871,9,4,3041,329,1206.0,66.0,337.8888888888889,463.38931183292055,112.0,54.0,82.25,23.263436977368585,1206,54,259.2307692307692,403.4184988409686,162746.48520710057,180,80,20,5,41334.946950276695,264241.93382263184,7.8678131103515625,91223.83009724092,231777.42958068848,224843.50204467773,87.738037109375,28972.17869758606,74038.37908293879,267299.4136810303,264286.0412597656,141.62063598632812,89099.80456034343,123880.39002926052,0,0,0,0,1,0,0,0,0,0,0,0.4444444444444444,259.2307692307692,501,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2447.0,5.0,0.0,0.0,621350.1566775639,0.0,337.8888888888889,82.25,0,9,4,3041,329,BENIGN,0.96
192.168.43.26,192.168.43.1,59263,53,ac:d5:64:9a:64:c5,70:dd:a8:12:cd:08,17,2023-03-05 22:42:09,39750.099182128906,7647.77965979703,50.31433986708572,25.15716993354286,25.15716993354286,1,1,88,216,88.0,88.0,88.0,0.0,216.0,216.0,216.0,0.0,216,88,152.0,64.0,4096.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,152.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,216.0,0,1,1,88,216,BENIGN,0.99
192.168.43.26,52.23.81.150,41260,443,ac:d5:64:9a:64:c5,70:dd:a8:12:cd:08,6,2023-03-05 22:42:09,1400192.7375793457,9275.151664085857,27.85330830055813,15.712122631084073,12.141185669474057,22,17,4894,8093,1206.0,66.0,222.45454545454547,333.2437992702431,1454.0,66.0,476.05882352941177,551.8681077073563,1454,66,333.0,459.58147069385666,211215.12820512822,440,340,20,8,36846.3302913465,522259.9506378174,-13.828277587890625,111790.66524620316,1067386.3887786865,522354.3643951416,13.828277587890625,50827.92327517555,131243.20118964367,1140556.0970306396,523325.44326782227,0.0,71284.75606441498,154045.3732469963,0,0,0,0,1,0,0,0,0,0,0,0.7727272727272727,333.0,64240,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2879.0,6.0,3481.5,6.0,5893314.405075647,862443.9285355698,222.45454545454547,476.05882352941177,0,22,17,4894,8093,BENIGN,1.0
192.168.43.26,52.23.81.150,41262,443,ac:d5:64:9a:64:c5,70:dd:a8:12:cd:08,6,2023-03-05 22:42:09,798918.7240600586,9795.7398722973,26.285527385413147,13.768609582835458,12.516917802577689,11,10,1167,6659,583.0,54.0,106.0909090909091,150.96083450259212,2842.0,66.0,665.9,894.27327478797,2842,54,372.6666666666667,686.2414772362314,470927.36507936503,220,200,20,1,39942.50297546387,271964.07318115234,-63.89617919921875,82185.92318422331,798918.7240600586,272032.9761505127,7.3909759521484375,79891.87240600586,102619.54119526855,526942.4915313721,272300.48179626465,0.0,58549.16572570801,87047.71605265116,0,0,0,0,1,0,0,0,0,0,0,0.9090909090909091,372.6666666666667,64240,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5979.0,6.0,0.0,23847.997763335825,106.0909090909091,665.9,0,11,10,1167,6659,BENIGN,0.99
192.168.43.26,52.84.97.68,49642,443,ac:d5:64:9a:64:c5,70:dd:a8:12:cd:08,6,2023-03-05 22:42:15,216229.67720031738,610.4619944361932,9.249424158124139,4.6247120790620695,4.6247120790620695,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,1,1,66,66,BENIGN,1.0
192.168.43.26,192.168.43.1,48068,53,ac:d5:64:9a:64:c5,70:dd:a8:12:cd:08,17,2023-03-05 22:42:31,45836.9255065918,6370.409812019516,43.63294391794189,21.816471958970943,21.816471958970943,1,1,82,210,82.0,82.0,82.0,0.0,210.0,210.0,210.0,0.0,210,82,146.0,64.0,4096.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,146.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,210.0,0,1,1,82,210,BENIGN,0.99
192.168.43.26,52.45.144.43,41728,443,ac:d5:64:9a:64:c5,70:dd:a8:12:cd:08,6,2023-03-05 22:42:31,1157214.879989624,8785.749453974495,29.38088732518273,16.418731152308,12.962156172874735,19,15,3120,7047,832.0,66.0,164.21052631578948,204.27395922024047,1454.0,66.0,469.8,533.4164351923677,1454,66,299.02941176470586,414.5731671245186,171870.910899654,380,300,20,6,35066.18557554303,372526.1688232422,-25.272369384765625,95396.4207003733,784688.7111663818,267905.71212768555,19.788742065429688,43593.817287021215,96650.12583247422,903083.5628509521,373088.12141418457,0.0,64505.96877506801,125169.23129328116,0,0,0,0,1,0,0,0,0,0,0,0.7894736842105263,299.02941176470586,64240,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1303.0,4.0,3024.5,5.5,3282389.2564564566,1631912.580948093,164.21052631578948,469.8,0,19,15,3120,7047,BENIGN,1.0
192.168.43.26,52.45.144.43,41730,443,ac:d5:64:9a:64:c5,70:dd:a8:12:cd:08,6,2023-03-05 22:42:32,832440.1378631592,9581.46975045446,30.032189538786547,15.616738560169004,14.415450978617542,13,12,1509,6467,583.0,66.0,116.07692307692308,138.84937136693878,1454.0,66.0,538.9166666666666,569.8389331400779,1454,66,319.04,458.82009371866013,210515.87840000005,260,240,20,2,34684.63818232218,268072.12829589844,-8.821487426757812,87662.30141305583,832440.1378631592,269899.1298675537,15.020370483398438,69370.0114885966,114405.76208103512,568431.1389923096,269012.2127532959,0.0,51675.55809020996,102246.39527267245,0,0,0,0,1,0,0,0,0,0,0,0.9230769230769231,319.04,64240,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5427.0,7.0,0.0,326212.9583536358,116.07692307692308,538.9166666666666,0,13,12,1509,6467,BENIGN,0.99
