src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,predicted_score,predicted_label
192.168.100.214,172.217.170.197,48902,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,6,2023-03-22 18:12:20,19816.875457763672,6660.989532953151,100.9240838326235,50.46204191631175,50.46204191631175,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,523,361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,1,1,66,66,BENIGN,0.96
192.168.100.214,172.217.170.195,58035,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,17,2023-03-22 18:12:21,418950.55770874023,23384.62097670962,38.190664042804315,21.482248524077427,16.708415518726888,9,7,5072,4725,1292.0,75.0,563.5555555555555,556.4798311431744,1292.0,64.0,675.0,556.1775153414857,1292,64,612.3125,559.0877300064365,312579.08984375,72,56,8,9,27930.037180582684,154762.02964782715,0.476837158203125,40468.445570001095,418950.55770874023,222416.63932800293,1227.8556823730469,52368.81971359253,66872.27102412013,312361.9556427002,217356.68182373047,0.476837158203125,52060.325940450035,75406.04241542931,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,612.3125,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.5555555555555,675.0,0,9,7,5072,4725,BENIGN,0.98
192.168.100.214,108.177.15.188,59466,5228,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,6,2023-03-22 18:12:25,207618.95179748535,635.780109942732,9.633031968829272,4.816515984414636,4.816515984414636,1,1,66,66,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66,66,66.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,66.0,501,265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0,1,1,66,66,BENIGN,0.96
192.168.100.214,192.168.100.1,47763,53,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,17,2023-03-22 18:12:25,24255.990982055664,8987.470359849416,82.45385651237996,41.22692825618998,41.22692825618998,1,1,80,138,80.0,80.0,80.0,0.0,138.0,138.0,138.0,0.0,138,80,109.0,29.0,841.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,109.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,138.0,0,1,1,80,138,BENIGN,0.99
192.168.100.214,172.217.170.195,39049,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,17,2023-03-22 18:12:25,570515.1557922363,12872.576522181742,33.3032344664288,15.775216326203115,17.528018140225683,9,10,2712,4632,1292.0,75.0,301.3333333333333,415.15619550557915,1292.0,64.0,463.2,480.4258111300849,1292,64,386.5263157894737,457.877870227773,209652.14404432132,72,80,8,9,31695.28643290202,149374.48501586914,0.0,46317.31850475655,467435.1215362549,209373.95095825195,184.05914306640625,58429.39019203186,71998.68468662928,420577.0492553711,110164.64233398438,0.0,46730.78325059679,44238.7319777288,0,0,0,0,1,0,0,0,0,0,0,1.1111111111111112,386.5263157894737,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3512.0,6.0,0.0,59572.11003356655,301.3333333333333,463.2,0,9,10,2712,4632,BENIGN,0.99
192.168.100.214,216.58.223.67,43329,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,17,2023-03-22 18:12:25,738981.4853668213,14187.094274487637,37.88998852400361,18.944994262001806,18.944994262001806,14,14,5191,5293,1292.0,75.0,370.7857142857143,483.44392178432037,1292.0,63.0,378.07142857142856,461.95430576220946,1292,63,374.42857142857144,472.8352498168762,223573.17346938775,112,112,8,14,27369.6846432156,107414.48402404785,0.2384185791015625,36555.52893100195,658701.1814117432,193976.40228271484,190.0196075439453,50669.321647057164,57741.95025157401,631376.9817352295,137180.08995056152,0.2384185791015625,48567.460133479195,49975.37770613579,0,0,0,0,1,0,0,0,0,0,0,1.0,374.42857142857144,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2534.0,4.0,3500.0,5.0,781382.6154977209,41630.21864277004,370.7857142857143,378.07142857142856,0,14,14,5191,5293,BENIGN,1.0
192.168.100.214,35.201.127.49,45847,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,17,2023-03-22 18:12:20,5989437.580108643,1472.9262776355667,8.681950400935103,4.674896369734286,4.007054031200816,28,24,3105,5717,213.0,75.0,110.89285714285714,57.72121378148733,582.0,67.0,238.20833333333334,234.9893577673016,582,67,169.65384615384616,176.9420683786933,31308.495562130174,224,192,8,28,117439.95255114985,2004312.9920959473,0.2384185791015625,332692.0179654427,5897983.551025391,2036110.8779907227,234.6038818359375,218443.8352231626,450595.4454608197,5966862.678527832,2082394.3614959717,0.2384185791015625,259428.81210990573,491852.43642505934,0,0,0,0,1,0,0,0,0,0,0,0.8571428571428571,169.65384615384616,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,4.0,0.0,0.0,1617.3080774000327,0.0,110.89285714285714,238.20833333333334,0,28,24,3105,5717,BENIGN,1.0
192.168.100.1,239.255.255.250,46347,1900,c8:1f:be:4e:a4:a6,b4:69:21:61:a7:3d,17,2023-03-22 18:12:25,1820744.7528839111,383.3596108924246,2.196903214283236,2.196903214283236,0.0,4,0,698,0,175.0,174.0,174.5,0.5,0.0,0.0,0.0,0.0,175,174,174.5,0.5,0.25,32,0,8,4,606914.9176279703,1300163.5074615479,259172.91641235352,490201.62841226417,1820744.7528839111,1300163.5074615479,259172.91641235352,606914.9176279703,490201.62841226417,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,174.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.5,0.0,0,4,0,698,0,BENIGN,0.97
192.168.100.214,192.168.100.1,43622,53,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,17,2023-03-22 18:12:28,87132.21549987793,2639.6666110288706,22.953622704598875,11.476811352299437,11.476811352299437,1,1,75,155,75.0,75.0,75.0,0.0,155.0,155.0,155.0,0.0,155,75,115.0,40.0,1600.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,115.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,155.0,0,1,1,75,155,BENIGN,0.99
192.168.100.214,52.84.97.164,43856,443,b4:69:21:61:a7:3d,c8:1f:be:4e:a4:a6,6,2023-03-22 18:12:29,154778.95736694336,9930.29043577381,83.99074539040959,38.76495941095827,45.22578597945132,6,7,618,919,163.0,66.0,103.0,30.566866593312003,433.0,66.0,131.28571428571428,124.23447219525124,433,66,118.23076923076923,94.55576608228756,8940.792899408283,120,140,20,4,12898.24644724528,43828.487396240234,0.0,16561.743585190397,142390.72799682617,66051.72157287598,244.140625,28478.145599365234,25437.54419308943,78771.35276794434,37494.18258666992,0.0,13128.558794657389,15043.417193336798,0,0,0,0,1,0,0,0,0,0,0,1.1666666666666667,118.23076923076923,501,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,131.28571428571428,0,6,7,618,919,BENIGN,1.0
